time(ms);dim;error
78.125000;397;0.000000
78.125000;398;0.000000
109.375000;399;0.000000
93.750000;400;0.000000
78.125000;401;0.000000
93.750000;402;0.000000
78.125000;403;0.000000
125.000000;404;0.000000
78.125000;405;0.000000
93.750000;406;0.000000
140.625000;407;0.000000
78.125000;408;0.000000
93.750000;409;0.000000
93.750000;410;0.000000
93.750000;411;0.000000
140.625000;412;0.000000
93.750000;413;0.000000
93.750000;414;0.000000
140.625000;415;0.000000
109.375000;416;0.000000
93.750000;417;0.000000
93.750000;418;0.000000
109.375000;419;0.000000
156.250000;420;0.000000
93.750000;421;0.000000
109.375000;422;0.000000
156.250000;423;0.000000
93.750000;424;0.000000
109.375000;425;0.000000
93.750000;426;0.000000
93.750000;427;0.000000
109.375000;428;0.000000
109.375000;429;0.000000
109.375000;430;0.000000
125.000000;431;0.000000
140.625000;432;0.000000
109.375000;433;0.000000
109.375000;434;0.000000
171.875000;435;0.000000
109.375000;436;0.000000
109.375000;437;0.000000
109.375000;438;0.000000
125.000000;439;0.000000
109.375000;440;0.000000
125.000000;441;0.000000
109.375000;442;0.000000
187.500000;443;0.000000
109.375000;444;0.000000
171.875000;445;0.000000
109.375000;446;0.000000
125.000000;447;0.000000
125.000000;448;0.000000
125.000000;449;0.000000
125.000000;450;0.000000
203.125000;451;0.000000
203.125000;452;0.000000
203.125000;453;0.000000
125.000000;454;0.000000
203.125000;455;0.000000
125.000000;456;0.000000
125.000000;457;0.000000
140.625000;458;0.000000
140.625000;459;0.000000
203.125000;460;0.000000
125.000000;461;0.000000
140.625000;462;0.000000
140.625000;463;0.000000
140.625000;464;0.000000
125.000000;465;0.000000
140.625000;466;0.000000
140.625000;467;0.000000
218.750000;468;0.000000
171.875000;469;0.000000
140.625000;470;0.000000
140.625000;471;0.000000
156.250000;472;0.000000
140.625000;473;0.000000
218.750000;474;0.000000
140.625000;475;0.000000
156.250000;476;0.000000
140.625000;477;0.000000
140.625000;478;0.000000
156.250000;479;0.000000
140.625000;480;0.000000
156.250000;481;0.000000
156.250000;482;0.000000
156.250000;483;0.000000
156.250000;484;0.000000
156.250000;485;0.000000
171.875000;486;0.000000
156.250000;487;0.000000
156.250000;488;0.000000
250.000000;489;0.000000
156.250000;490;0.000000
171.875000;491;0.000000
156.250000;492;0.000000
156.250000;493;0.000000
156.250000;494;0.000000
171.875000;495;0.000000
250.000000;496;0.000000
156.250000;497;0.000000
265.625000;498;0.000000
171.875000;499;0.000000
187.500000;500;0.000000
171.875000;501;0.000000
187.500000;502;0.000000
171.875000;503;0.000000
171.875000;504;0.000000
187.500000;505;0.000000
171.875000;506;0.000000
171.875000;507;0.000000
171.875000;508;0.000000
187.500000;509;0.000000
171.875000;510;0.000000
187.500000;511;0.000000
218.750000;512;0.000000
187.500000;513;0.000000
203.125000;514;0.000000
187.500000;515;0.000000
312.500000;516;0.000000
203.125000;517;0.000000
265.625000;518;0.000000
203.125000;519;0.000000
187.500000;520;0.000000
296.875000;521;0.000000
203.125000;522;0.000000
218.750000;523;0.000000
203.125000;524;0.000000
203.125000;525;0.000000
203.125000;526;0.000000
203.125000;527;0.000000
203.125000;528;0.000000
218.750000;529;0.000000
218.750000;530;0.000000
218.750000;531;0.000000
218.750000;532;0.000000
218.750000;533;0.000000
343.750000;534;0.000000
218.750000;535;0.000000
218.750000;536;0.000000
218.750000;537;0.000000
218.750000;538;0.000000
281.250000;539;0.000000
218.750000;540;0.000000
234.375000;541;0.000000
234.375000;542;0.000000
234.375000;543;0.000000
296.875000;544;0.000000
234.375000;545;0.000000
234.375000;546;0.000000
250.000000;547;0.000000
234.375000;548;0.000000
234.375000;549;0.000000
234.375000;550;0.000000
328.125000;551;0.000000
234.375000;552;0.000000
250.000000;553;0.000000
359.375000;554;0.000000
250.000000;555;0.000000
390.625000;556;0.000000
250.000000;557;0.000000
250.000000;558;0.000000
328.125000;559;0.000000
250.000000;560;0.000000
281.250000;561;0.000000
250.000000;562;0.000000
265.625000;563;0.000000
265.625000;564;0.000000
406.250000;565;0.000000
265.625000;566;0.000000
281.250000;567;0.000000
265.625000;568;0.000000
421.875000;569;0.000000
421.875000;570;0.000000
375.000000;571;0.000000
281.250000;572;0.000000
343.750000;573;0.000000
265.625000;574;0.000000
406.250000;575;0.000000
281.250000;576;0.000000
281.250000;577;0.000000
281.250000;578;0.000000
296.875000;579;0.000000
281.250000;580;0.000000
437.500000;581;0.000000
281.250000;582;0.000000
296.875000;583;0.000000
296.875000;584;0.000000
296.875000;585;0.000000
296.875000;586;0.000000
296.875000;587;0.000000
312.500000;588;0.000000
312.500000;589;0.000000
468.750000;590;0.000000
312.500000;591;0.000000
296.875000;592;0.000000
312.500000;593;0.000000
312.500000;594;0.000000
312.500000;595;0.000000
312.500000;596;0.000000
484.375000;597;0.000000
484.375000;598;0.000000
500.000000;599;0.000000
328.125000;600;0.000000
328.125000;601;0.000000
328.125000;602;0.000000
328.125000;603;0.000000
468.750000;604;0.000000
328.125000;605;0.000000
328.125000;606;0.000000
343.750000;607;0.000000
515.625000;608;0.000000
343.750000;609;0.000000
328.125000;610;0.000000
359.375000;611;0.000000
328.125000;612;0.000000
343.750000;613;0.000000
531.250000;614;0.000000
343.750000;615;0.000000
343.750000;616;0.000000
343.750000;617;0.000000
359.375000;618;0.000000
359.375000;619;0.000000
343.750000;620;0.000000
359.375000;621;0.000000
375.000000;622;0.000000
375.000000;623;0.000000
359.375000;624;0.000000
359.375000;625;0.000000
359.375000;626;0.000000
359.375000;627;0.000000
359.375000;628;0.000000
578.125000;629;0.000000
375.000000;630;0.000000
375.000000;631;0.000000
375.000000;632;0.000000
375.000000;633;0.000000
375.000000;634;0.000000
484.375000;635;0.000000
390.625000;636;0.000000
390.625000;637;0.000000
375.000000;638;0.000000
390.625000;639;0.000000
390.625000;640;0.000000
390.625000;641;0.000000
390.625000;642;0.000000
562.500000;643;0.000000
406.250000;644;0.000000
500.000000;645;0.000000
390.625000;646;0.000000
406.250000;647;0.000000
421.875000;648;0.000000
406.250000;649;0.000000
546.875000;650;0.000000
406.250000;651;0.000000
421.875000;652;0.000000
421.875000;653;0.000000
500.000000;654;0.000000
468.750000;655;0.000000
421.875000;656;0.000000
421.875000;657;0.000000
421.875000;658;0.000000
437.500000;659;0.000000
437.500000;660;0.000000
437.500000;661;0.000000
437.500000;662;0.000000
437.500000;663;0.000000
468.750000;664;0.000000
453.125000;665;0.000000
468.750000;666;0.000000
453.125000;667;0.000000
453.125000;668;0.000000
453.125000;669;0.000000
453.125000;670;0.000000
468.750000;671;0.000000
625.000000;672;0.000000
453.125000;673;0.000000
453.125000;674;0.000000
468.750000;675;0.000000
468.750000;676;0.000000
468.750000;677;0.000000
468.750000;678;0.000000
468.750000;679;0.000000
468.750000;680;0.000000
468.750000;681;0.000000
484.375000;682;0.000000
484.375000;683;0.000000
687.500000;684;0.000000
765.625000;685;0.000000
484.375000;686;0.000000
500.000000;687;0.000000
500.000000;688;0.000000
500.000000;689;0.000000
781.250000;690;0.000000
500.000000;691;0.000000
500.000000;692;0.000000
515.625000;693;0.000000
515.625000;694;0.000000
500.000000;695;0.000000
531.250000;696;0.000000
500.000000;697;0.000000
546.875000;698;0.000000
718.750000;699;0.000000
515.625000;700;0.000000
531.250000;701;0.000000
531.250000;702;0.000000
531.250000;703;0.000000
828.125000;704;0.000000
515.625000;705;0.000000
531.250000;706;0.000000
531.250000;707;0.000000
531.250000;708;0.000000
531.250000;709;0.000000
546.875000;710;0.000000
843.750000;711;0.000000
546.875000;712;0.000000
546.875000;713;0.000000
578.125000;714;0.000000
671.875000;715;0.000000
546.875000;716;0.000000
562.500000;717;0.000000
