time(ms);dim;error
140.625000;628;-0.000000
140.625000;629;-0.000000
140.625000;630;-0.000000
140.625000;631;0.000000
156.250000;632;0.000000
140.625000;633;0.000000
156.250000;634;0.000000
156.250000;635;-0.000000
156.250000;636;-0.000000
156.250000;637;-0.000000
156.250000;638;-0.000000
156.250000;639;0.000000
156.250000;640;0.000000
156.250000;641;-0.000000
156.250000;642;-0.000000
156.250000;643;0.000000
156.250000;644;0.000000
156.250000;645;0.000000
156.250000;646;0.000000
156.250000;647;-0.000000
156.250000;648;0.000000
156.250000;649;0.000000
156.250000;650;-0.000000
156.250000;651;0.000000
156.250000;652;-0.000000
171.875000;653;0.000000
171.875000;654;0.000000
156.250000;655;0.000000
156.250000;656;0.000000
156.250000;657;-0.000000
156.250000;658;0.000000
156.250000;659;0.000000
171.875000;660;-0.000000
171.875000;661;-0.000000
171.875000;662;0.000000
171.875000;663;0.000000
171.875000;664;-0.000000
171.875000;665;0.000000
156.250000;666;0.000000
171.875000;667;0.000000
171.875000;668;-0.000000
171.875000;669;0.000000
171.875000;670;-0.000000
171.875000;671;0.000000
171.875000;672;-0.000000
171.875000;673;-0.000000
171.875000;674;-0.000000
171.875000;675;-0.000000
171.875000;676;-0.000000
187.500000;677;0.000000
187.500000;678;0.000000
187.500000;679;0.000000
187.500000;680;0.000000
187.500000;681;0.000000
187.500000;682;-0.000000
171.875000;683;0.000000
187.500000;684;0.000000
187.500000;685;0.000000
187.500000;686;-0.000000
187.500000;687;0.000000
187.500000;688;-0.000000
187.500000;689;-0.000000
187.500000;690;-0.000000
187.500000;691;0.000000
187.500000;692;-0.000000
187.500000;693;-0.000000
187.500000;694;0.000000
203.125000;695;-0.000000
203.125000;696;-0.000000
187.500000;697;0.000000
187.500000;698;0.000000
203.125000;699;0.000000
203.125000;700;0.000000
203.125000;701;0.000000
203.125000;702;-0.000000
187.500000;703;0.000000
203.125000;704;0.000000
203.125000;705;0.000000
187.500000;706;0.000000
203.125000;707;-0.000000
203.125000;708;-0.000000
203.125000;709;0.000000
203.125000;710;-0.000000
203.125000;711;0.000000
203.125000;712;0.000000
203.125000;713;-0.000000
203.125000;714;-0.000000
218.750000;715;0.000000
218.750000;716;0.000000
218.750000;717;-0.000000
218.750000;718;-0.000000
203.125000;719;-0.000000
203.125000;720;0.000000
218.750000;721;-0.000000
218.750000;722;-0.000000
218.750000;723;-0.000000
218.750000;724;-0.000000
218.750000;725;0.000000
218.750000;726;-0.000000
218.750000;727;-0.000000
218.750000;728;0.000000
218.750000;729;-0.000000
218.750000;730;0.000000
234.375000;731;0.000000
234.375000;732;0.000000
234.375000;733;-0.000000
234.375000;734;-0.000000
234.375000;735;0.000000
234.375000;736;0.000000
218.750000;737;0.000000
234.375000;738;0.000000
234.375000;739;-0.000000
234.375000;740;0.000000
234.375000;741;0.000000
234.375000;742;0.000000
234.375000;743;0.000000
234.375000;744;-0.000000
234.375000;745;-0.000000
234.375000;746;0.000000
250.000000;747;0.000000
250.000000;748;-0.000000
234.375000;749;0.000000
234.375000;750;0.000000
234.375000;751;0.000000
250.000000;752;-0.000000
250.000000;753;0.000000
250.000000;754;0.000000
234.375000;755;-0.000000
250.000000;756;0.000000
250.000000;757;-0.000000
250.000000;758;-0.000000
250.000000;759;0.000000
250.000000;760;0.000000
250.000000;761;0.000000
250.000000;762;-0.000000
250.000000;763;-0.000000
250.000000;764;0.000000
250.000000;765;0.000000
250.000000;766;-0.000000
250.000000;767;0.000000
250.000000;768;0.000000
265.625000;769;0.000000
265.625000;770;0.000000
250.000000;771;-0.000000
265.625000;772;0.000000
265.625000;773;0.000000
265.625000;774;0.000000
265.625000;775;0.000000
265.625000;776;0.000000
265.625000;777;-0.000000
281.250000;778;-0.000000
265.625000;779;-0.000000
265.625000;780;-0.000000
265.625000;781;0.000000
265.625000;782;-0.000000
281.250000;783;0.000000
281.250000;784;-0.000000
281.250000;785;0.000000
265.625000;786;-0.000000
281.250000;787;0.000000
265.625000;788;-0.000000
281.250000;789;0.000000
281.250000;790;0.000000
281.250000;791;0.000000
281.250000;792;0.000000
281.250000;793;0.000000
296.875000;794;-0.000000
296.875000;795;-0.000000
296.875000;796;-0.000000
296.875000;797;-0.000000
281.250000;798;0.000000
281.250000;799;-0.000000
296.875000;800;0.000000
296.875000;801;-0.000000
296.875000;802;0.000000
296.875000;803;0.000000
296.875000;804;-0.000000
296.875000;805;0.000000
296.875000;806;0.000000
296.875000;807;0.000000
296.875000;808;-0.000000
296.875000;809;-0.000000
296.875000;810;-0.000000
296.875000;811;-0.000000
296.875000;812;0.000000
312.500000;813;-0.000000
312.500000;814;0.000000
312.500000;815;0.000000
312.500000;816;0.000000
312.500000;817;-0.000000
312.500000;818;0.000000
312.500000;819;-0.000000
312.500000;820;0.000000
312.500000;821;-0.000000
312.500000;822;0.000000
312.500000;823;-0.000000
312.500000;824;0.000000
312.500000;825;0.000000
328.125000;826;-0.000000
328.125000;827;0.000000
328.125000;828;-0.000000
328.125000;829;-0.000000
328.125000;830;0.000000
328.125000;831;-0.000000
328.125000;832;0.000000
328.125000;833;0.000000
328.125000;834;0.000000
343.750000;835;0.000000
343.750000;836;-0.000000
343.750000;837;-0.000000
328.125000;838;0.000000
328.125000;839;-0.000000
343.750000;840;-0.000000
343.750000;841;-0.000000
343.750000;842;0.000000
343.750000;843;0.000000
343.750000;844;0.000000
343.750000;845;-0.000000
343.750000;846;0.000000
343.750000;847;0.000000
343.750000;848;0.000000
343.750000;849;0.000000
359.375000;850;0.000000
359.375000;851;0.000000
359.375000;852;0.000000
343.750000;853;-0.000000
343.750000;854;0.000000
359.375000;855;0.000000
359.375000;856;0.000000
359.375000;857;0.000000
359.375000;858;0.000000
